diagnose 诊断
remedy 治疗
clinic 诊所
chronicle 历史
hydrate 补充水分
saturate 浸透 饱和   

mud 泥
trench 沟渠
resource 资源人力财力
recyclable 可回收的
triple 三倍的
silicon 硅

spot  【n】斑点污渍 【v】发现   pot（坛子）
pottery 陶器
potential 潜在的，有能力的
spotlight 聚光灯 

budget 预算
stalk 植物的秆茎
insect 昆虫
vegetation 植物
bleak 阴冷的，荒凉的
humid 潮湿的（接近泥土的地方）
humble 卑微的
tumble 跌倒，暴跌
humiliate 羞辱
humane 善良的

turbulent 动荡的，不安的
fierce 凶猛的，猛烈的
harsh 残酷的，艰苦的

adjoin 连接，毗邻
adjacent 连接的，毗邻的
adore 爱慕喜欢
fore 在前面的
foresee 预料
sight 风景景象
foresight 先见之明
oversight 监督
forth 向前【adv】
forthcoming 即将发生的
forecast 预报预告
foretell 预言
forerunner 先驱
foremost 最重要的

orient 使确定方向
authority 权威当局权力
authorize 批准授权

capital 资本资产，首都
bureau 局，处，科
bureaucrat 官僚







