aspect 方面
suspect 怀疑
suspicion 怀疑
susceptible 易受影响的，敏感的
spectator 观众
respect 尊重
respective 各自的
spectacular 壮观的
spectacle 壮丽的景象
prosper 繁荣，兴旺
spectrum 光谱
conspicuous 明显的
despise 鄙视
perspective 观点看法
stance 观点立场
speculate 推测
prospect 前途前景
prospective 有前途的
retrospect 回顾

inferior 次的，差的
superior 更好的 ，上级上司
superiority 优势
superb 卓越的，极好的
supreme 至高无上的，最高的
superstition 迷信
supersonic 超声速的
precede 领先
precedent 先例
unprecedented 前所未有的
predecessor 前任，前辈
concede 承认，让步
concession 让步妥协
succession 继位
successive 连续不断的
successor 继承人
exceed 超过，超越
exceedingly 非常
recession 经济衰退
proceed 前进，进步
procession 队伍
procedure 步骤
bribe 贿赂
debt 贷款
indebted 负债的，感激的
levy 征税 【n】税款

deposit 存款
compose 组成构成，作曲
composite 合成物 【adj】合成的
posture 姿势
propose 建议，求婚
proposition 提议建议
positive 积极的
position 位置
expose 暴露 be exposed to sth
dispose 处理 解决
disposable 一次性的
impose 强加，强制
oppose 反对
opponent 对手







